tic,conm_x,Last Price,YTD Ret,1-mth Ret,3-mth Ret,12-mth Ret,BothSP-NASDAQ,SP500,Ticker,gvkey,datadate,fyear,cusip,conm_y,fyr,exchg,cik,fic,addzip,city,gsubind,naics,sic,state,PERMNO,date,NCUSIP,COMNAM,PERMCO,CUSIP 
ECL,Ecolab Inc,147.26,-0.237,-0.2406,-0.2222,-0.1884,0,1, ECL,4213,20191231,2019,278865100,ECOLAB INC,12,11,31462,USA,55102-2233,Saint Paul,15101050,325612,2842,MN,70578,20191231,27886510,ECOLAB INC,1467,27886510
ECOL,US Ecology Inc,28.39,-0.5098,-0.3422,-0.5045,-0.4864,0,0, ECOL,1439,20191231,2019,91734M103,US ECOLOGY INC,12,14,1783400,USA,83702,Boise,20201050,562211,4955,ID,12758,20191231,91734M10,U S ECOLOGY INC NEW,7019,91734M10
ECOR,Electrocore Inc,1.03,-0.3522,0.488,-0.3642,-0.8131,0,0, ECOR,,,,,,,,,,,,,,,,17877,20191231,28531P10,ELECTROCORE INC,56402,28531P10
ECPG,Encore Capital Group,16.94,-0.5209,-0.5563,-0.5223,-0.3991,0,0, ECPG,121815,20191231,2019,292554102,ENCORE CAPITAL GROUP INC,12,14,1084961,USA,92108,San Diego,40202010,522298,6153,CA,87077,20191231,29255410,ENCORE CAPITAL GROUP INC,16641,29255410
ED,Consolidated Edison Company of New York,77.9,-0.1389,-0.0708,-0.1211,-0.0775,0,1, ED,3413,20191231,2019,209115104,CONSOLIDATED EDISON INC,12,11,1047862,USA,10003,New York,55103010,22111,4931,NY,11404,20191231,20911510,CONSOLIDATED EDISON INC,20499,20911510
EDIT,Editas Medicine,19.56,-0.3394,-0.1093,-0.3255,-0.2688,0,0, EDIT,26874,20191231,2019,28106W103,EDITAS MEDICINE INC,12,14,1650664,USA,2141,Cambridge,35201010,325414,2836,MA,15937,20191231,28106W10,EDITAS MEDICINE INC,55521,28106W10
EEFT,Euronet Worldwide,72.75,-0.5383,-0.3998,-0.5404,-0.4876,0,0, EEFT,64536,20191231,2019,298736109,EURONET WORLDWIDE INC,12,14,1029199,USA,66211,Leawood,45102020,522320,6099,KS,84606,20191231,29873610,EURONET WORLDWIDE INC,15376,29873610
EFSC,Enterprises Finl Svc,24.94,-0.4827,-0.358,-0.4811,-0.4053,0,0, EFSC,117141,20191231,2019,293712105,ENTERPRISE FINL SERVICES CP,12,14,1025835,USA,63105,Clayton,40101015,522110,6020,MO,90591,20191231,29371210,ENTERPRISE FINANCIAL SVCS CORP,46273,29371210
EFX,Equifax Inc,106.62,-0.2391,-0.2952,-0.2537,-0.1285,0,1, EFX,4423,20191231,2019,294429105,EQUIFAX INC,12,11,33185,USA,30309,Atlanta,20202020,561450,7323,GA,52476,20191231,29442910,EQUIFAX INC,20659,29442910
EGBN,Eagle Bancorp Inc,28.67,-0.4104,-0.2707,-0.4079,-0.4428,0,0, EGBN,111721,20191231,2019,268948106,EAGLE BANCORP INC/MD,12,14,1050441,USA,20814,Bethesda,40101015,522110,6020,MD,87318,20191231,26894810,EAGLE BANCORP INC,17183,26894810
EGOV,Nic Inc,22.94,0.0264,0.2664,0.0119,0.3439,0,0, EGOV,122078,20191231,2019,62914B100,NIC INC,12,14,1065332,USA,66061,Olathe,45102020,519130,7370,KS,87066,20191231,62914B10,N I C INC,16650,62914B10
EGRX,Eagle Pharmaceuticals,43.53,-0.2755,-0.0105,-0.272,-0.1313,0,0, EGRX,19784,20191231,2019,269796108,EAGLE PHARMACEUTICALS INC,12,14,827871,USA,7677,Woodcliff Lake,35201010,325412,2834,NJ,14456,20191231,26979610,EAGLE PHARMACEUTICALS INC,54736,26979610
EHTH,Ehealth Inc,128.21,0.3344,0.0694,0.3257,1.0864,0,0, EHTH,174389,20191231,2019,28238P109,EHEALTH INC,12,14,1333493,USA,95054,Santa Clara,40301010,524210,6411,CA,91498,20191231,28238P10,EHEALTH INC,51306,28238P10
EIDX,Eidos Therapeutics Inc,39.84,-0.3058,-0.1952,-0.2969,0.7135,0,0, EIDX,33641,20191231,2019,28249H104,EIDOS THERAPEUTICS INC,12,14,1731831,USA,94104,San Francisco,35201010,325414,2836,CA,17878,20191231,28249H10,EIDOS THERAPEUTICS INC,56403,28249H10
EIX,Edison International,49.36,-0.3454,-0.2773,-0.3399,-0.2221,0,1, EIX,9846,20191231,2019,281020107,EDISON INTERNATIONAL,12,11,827052,USA,91770,Rosemead,55101010,22111,4911,CA,15720,20191231,28102010,EDISON INTERNATIONAL,21543,28102010
EL,Estee Lauder Companies,154.08,-0.254,-0.1821,-0.2473,-0.0621,0,1, EL,61567,20190630,2019,518439104,LAUDER (ESTEE) COS INC -CL A,6,11,1001250,USA,10153,New York,30302010,325620,2844,NY,82642,20191231,51843910,LAUDER ESTEE COS INC,31196,51843910
ELOX,Eloxx Pharmaceuticals Inc,1.56,-0.788,-0.4783,-0.7889,-0.8626,0,0, ELOX,32858,20191231,2019,29014R103,ELOXX PHARMACEUTICALS INC,12,14,1035354,USA,2451,Waltham,35202010,325414,2836,MA,89411,20191231,29014R10,ELOXX PHARMACEUTICALS INC,43166,29014R10
EMN,Eastman Chemical Company,45.09,-0.4311,-0.2602,-0.4063,-0.4427,0,1, EMN,29392,20191231,2019,277432100,EASTMAN CHEMICAL CO,12,11,915389,USA,37662,Kingsport,15101020,325211,2821,TN,80080,20191231,27743210,EASTMAN CHEMICAL CO,30070,27743210
EMR,Emerson Electric Company,45.72,-0.4005,-0.2827,-0.4017,-0.354,0,1, EMR,4321,20190930,2019,291011104,EMERSON ELECTRIC CO,9,11,32604,USA,63136,St. Louis,20104010,334513,3823,MO,22103,20191231,29101110,EMERSON ELECTRIC CO,20643,29101110
ENDP,Endo Int'l Plc,3.18,-0.322,-0.4111,-0.3212,-0.5928,0,0, ENDP,63645,20191231,2019,G30401106,ENDO INTERNATIONAL PLC,12,14,1593034,IRL,4,Dublin,35202010,325412,2834,,88436,20191231,G3040110,ENDO INTERNATIONAL PLC,37931,G3040110
ENPH,Enphase Energy Inc,28.69,0.098,-0.4522,-0.0205,1.9608,0,0, ENPH,187450,20191231,2019,29355A107,ENPHASE ENERGY INC,12,14,1463101,USA,94538,Fremont,45301010,334413,3674,CA,13323,20191231,29355A10,ENPHASE ENERGY INC,54026,29355A10
ENSG,The Ensign Group IN,32.82,-0.2766,-0.2189,-0.2757,-0.3515,0,0, ENSG,178803,20191231,2019,29358P101,ENSIGN GROUP INC,12,14,1125376,USA,92675,San Juan Capistrano,35102020,623110,8051,CA,92432,20191231,29358P10,ENSIGN GROUP INC,52858,29358P10
ENTA,Enanta Pharmaceutica,50.71,-0.1792,-0.0306,-0.1764,-0.4689,0,0, ENTA,16269,20190930,2019,29251M106,ENANTA PHARMACEUTICALS INC,9,14,1177648,USA,2472,Watertown,35201010,325414,2836,MA,13825,20191231,29251M10,ENANTA PHARMACEUTICALS INC,54351,29251M10
ENTG,Entegris Inc,42.11,-0.1593,-0.2129,-0.1673,0.1223,0,0, ENTG,137573,20191231,2019,29362U104,ENTEGRIS INC,12,14,1101302,USA,1821,Billerica,45301010,333242,3559,MA,88439,20191231,29362U10,ENTEGRIS INC,37932,29362U10
EOG,Eog Resources,39.89,-0.5238,-0.361,-0.5307,-0.5753,0,1, EOG,16478,20191231,2019,26875P101,EOG RESOURCES INC,12,11,821189,USA,77002,Houston,10102020,2111,1311,TX,75825,20191231,26875P10,EOG RESOURCES INC,22113,26875P10
EPAY,Bottomline Tech IN,31.97,-0.4035,-0.2439,-0.4066,-0.3585,0,0, EPAY,118223,20190630,2019,101388106,BOTTOMLINE TECHNOLOGIES INC,6,14,1073349,USA,3801,Portsmouth,45103010,519130,7370,NH,86717,20191231,10138810,BOTTOMLINE TECHNOLOGIES DEL INC,16410,10138810
EPZM,Epizyme Inc,13.9,-0.435,-0.3292,-0.4333,0.075,0,0, EPZM,17808,20191231,2019,29428V104,EPIZYME INC,12,14,1571498,USA,2139,Cambridge,35201010,325414,2836,MA,13924,20191231,29428V10,EPIZYME INC,54410,29428V10
EQIX,Equinix Inc,624.69,0.0702,0.0155,0.0676,0.3521,1,1, EQIX,138743,20191231,2019,29444U700,EQUINIX INC,12,14,1101239,USA,94065,Redwood City,60101080,531120,6798,CA,89617,20191231,29444U70,EQUINIX INC,38419,29444U70
EQR,Equity Residential,54.26,-0.3295,-0.3093,-0.3285,-0.2803,0,1, EQR,28733,20191231,2019,29476L107,EQUITY RESIDENTIAL,12,11,906107,USA,60606,Chicago,60101060,531110,6798,IL,79547,20191231,29476L10,EQUITY RESIDENTIAL,29940,29476L10
ERI,Eldorado Resorts,10.16,-0.8296,-0.7561,-0.8249,-0.7865,0,0, ERI,21808,20191231,2019,28470R102,ELDORADO RESORTS INC,12,14,1590895,USA,89501,Reno,25301010,713210,7990,NV,14882,20191231,28470R10,ELDORADO RESORTS INC,55000,28470R10
ERIC,Ericsson ADR,7.72,-0.1207,-0.0289,-0.1277,-0.195,0,0, ERIC,4439,20191231,2019,294821608,TELEFONAKTIEBOLAGET LM ERICS,12,14,717826,SWE,164 83,Stockholm,45201020,334220,3663,,33452,20191231,29482160,ERICSSON,1577,29482160
ERIE,Erie Indemnity Company,164.14,-0.0112,0.078,-0.0168,-0.0702,0,0, ERIE,61380,20191231,2019,29530P102,ERIE INDEMNITY CO,12,14,922621,USA,16530,Erie,40301040,524298,6411,PA,82486,20191231,29530P10,ERIE INDEMNITY CO,14013,29530P10
ES,Eversource Energy,75.06,-0.1177,-0.1877,-0.0941,0.0645,0,1, ES,7970,20191231,2019,30040W108,EVERSOURCE ENERGY,12,11,72741,USA,1104,Springfield,55101010,2211,4931,MA,44206,20191231,30040W10,EVERSOURCE ENERGY,21299,30040W10
ESGR,Enstar Group Ltd,158.2,-0.2352,-0.1284,-0.2396,-0.0874,0,0, ESGR,176602,20191231,2019,G3075P101,ENSTAR GROUP LTD,12,14,1363829,BMU,HM JX,Hamilton,40301050,524126,6331,,91818,20191231,G3075P10,ENSTAR GROUP LTD,51807,G3075P10
ESLT,Elbit Systems Ltd,120.57,-0.2224,-0.1881,-0.2382,-0.1004,0,0, ESLT,,,,,,,,,,,,,,,,84207,20191231,M3760D10,ELBIT SYSTEMS LTD,15192,M3760D10
ESPR,Esperion Theraptc,30.76,-0.4842,-0.4298,-0.4875,-0.2951,0,0, ESPR,18162,20191231,2019,29664W105,ESPERION THERAPEUTICS INC,12,14,1434868,USA,48108,Ann Arbor,35201010,325414,2836,MI,13954,20191231,29664W10,ESPERION THERAPEUTICS INC NEW,54427,29664W10
ESS,Essex Property Trust,190.86,-0.3656,-0.3461,-0.3663,-0.342,0,1, ESS,30293,20191231,2019,297178105,ESSEX PROPERTY TRUST,12,11,920522,USA,94403,San Mateo,60101060,531110,6798,CA,80681,20191231,29717810,ESSEX PROPERTY TRUST INC,30421,29717810
ETFC,E*Trade Finl Corp,34.29,-0.2442,-0.238,-0.2447,-0.2861,1,1, ETFC,63501,20191231,2019,269246401,E TRADE FINANCIAL CORP,12,14,1015780,USA,22203,Arlington,40203020,523120,6211,VA,83862,20191231,26924640,E TRADE FINANCIAL CORP,14915,26924640
ETN,Eaton Corp,71.25,-0.2478,-0.2326,-0.2513,-0.1402,0,1, ETN,4199,20191231,2019,G29183103,EATON CORP PLC,12,11,1551182,IRL,4,Dublin,20104010,335314,3620,,11762,20191231,G2918310,EATON CORP PLC,20627,G2918310
ETR,Entergy Corp,83.38,-0.304,-0.3159,-0.2977,-0.1135,0,1, ETR,7366,20191231,2019,29364G103,ENTERGY CORP,12,11,65984,USA,70113,New Orleans,55101010,22111,4911,LA,24010,20191231,29364G10,ENTERGY CORP NEW,21201,29364G10
ETSY,Etsy Inc,38.15,-0.1388,-0.3446,-0.1503,-0.4508,0,0, ETSY,23238,20191231,2019,29786A106,ETSY INC,12,14,1370637,USA,11201,Brooklyn,25502020,519130,7370,NY,15291,20191231,29786A10,ETSY INC,55229,29786A10
EVBG,Everbridge Inc,104.48,0.3381,-0.0354,0.2992,0.3751,0,0, EVBG,27874,20191231,2019,29978A104,EVERBRIDGE INC,12,14,1437352,USA,1803,Burlington,45103010,519130,7370,MA,16287,20191231,29978A10,EVERBRIDGE INC,55692,29978A10
EVRG,Evergy Inc,51.8,-0.2042,-0.2476,-0.1843,-0.0963,0,1, EVRG,6338,20191231,2019,30034W106,EVERGY INC,12,11,1711269,USA,64105,Kansas City,55101010,22111,4931,MO,24053,20191231,30034W10,EVERGY INC,21035,30034W10
EW,Edwards Lifesciences Corp,189.07,-0.1895,-0.0935,-0.1837,-0.0086,0,1, EW,133366,20191231,2019,2.82E+112,EDWARDS LIFESCIENCES CORP,12,11,1099800,USA,92614,Irvine,35101010,339113,3842,CA,87657,20191231,2.82E+14,EDWARDS LIFESCIENCES CORP,36952,2.82E+14
EWBC,East West Bancorp,22.78,-0.5322,-0.3983,-0.5348,-0.5482,0,0, EWBC,118042,20191231,2019,27579R104,EAST WEST BANCORP INC,12,14,1069157,USA,91101,Pasadena,40101015,522110,6020,CA,86719,20191231,27579R10,EAST WEST BANCORP INC,16402,27579R10
EXAS,Exact Sciences Cor,55.75,-0.3972,-0.2215,-0.4128,-0.3979,0,0, EXAS,141277,20191231,2019,30063P105,EXACT SCIENCES CORP,12,14,1124140,USA,53719,Madison,35201010,541714,8731,WI,88863,20191231,30063P10,EXACT SCIENCES CORP,41157,30063P10
EXC,Exelon Corp,32.75,-0.2816,-0.2589,-0.2813,-0.3442,1,1, EXC,8539,20191231,2019,30161N101,EXELON CORP,12,14,1109357,USA,60680,Chicago,55101010,22111,4911,IL,21776,20191231,30161N10,EXELON CORP,21396,30161N10
EXEL,Exelixis Inc,16.52,-0.0624,-0.1185,-0.0288,-0.3325,0,0, EXEL,133885,20191231,2019,30161Q104,EXELIXIS INC,12,14,939767,USA,94502,Alameda,35201010,325414,2836,CA,88159,20191231,30161Q10,EXELIXIS INC,37154,30161Q10
EXLS,Exlservice Holdings,46.7,-0.3277,-0.3903,-0.3376,-0.2208,0,0, EXLS,162449,20191231,2019,302081104,EXLSERVICE HOLDINGS INC,12,14,1297989,USA,10017,New York,45102020,518210,7374,NY,91500,20191231,30208110,EXLSERVICE HOLDINGS INC,51308,30208110
EXPD,Expeditors Intl,67.1,-0.14,-0.0444,-0.1383,-0.1373,1,1, EXPD,4494,20191231,2019,302130109,EXPEDITORS INTL WASH INC,12,14,746515,USA,98104,Seattle,20301010,488510,4731,WA,87717,20191231,30213010,EXPEDITORS INTERNATIONAL WA INC,7232,30213010
EXPE,Expedia Group Inc,48.71,-0.5496,-0.4883,-0.5537,-0.601,1,1, EXPE,126296,20191231,2019,30212P303,EXPEDIA GROUP INC,12,14,1324424,USA,98119,Seattle,25502020,561510,4700,WA,90808,20191231,30212P30,EXPEDIA GROUP INC,47013,30212P30
EXPO,Exponent Inc,70.64,0.0236,-0.0422,0.0026,0.2461,0,0, EXPO,23027,20191231,2019,30214U102,EXPONENT INC,12,14,851520,USA,94025,Menlo Park,20202020,541614,8742,CA,76261,20191231,30214U10,EXPONENT INC,10724,30214U10
EXR,Extra Space Storage Inc,96.13,-0.0899,-0.0901,-0.0975,-0.0593,0,1, EXR,160479,20191231,2019,30225T102,EXTRA SPACE STORAGE INC,12,11,1289490,USA,84121,Salt Lake City,60101080,531130,6798,UT,90305,20191231,30225T10,EXTRA SPACE STORAGE INC,45469,30225T10
EYE,National Vision Holdings Inc,16.67,-0.486,-0.5346,-0.4875,-0.4475,0,0, EYE,32574,20191231,2019,63845R107,NATIONAL VISION HLDGS INC,12,14,1710155,USA,30096,Duluth,25504040,446130,5990,GA,16971,20191231,63845R10,NATIONAL VISION HOLDINGS INC,56087,63845R10
EYEG,Eyegate Pharma,5.12,-0.489,-0.0775,-0.4678,-0.0248,0,0, EYEG,21282,20191231,2019,30233M503,EYEGATE PHARMACEUTICALS INC,12,14,1372514,USA,2452,Waltham,35202010,325412,2834,MA,15510,20191231,30233M50,EYEGATE PHARMACEUTICALS INC,55355,30233M50
EZPW,Ezcorp Inc,4.31,-0.368,-0.083,-0.3499,-0.5477,0,0, EZPW,24430,20190930,2019,302301106,EZCORP INC  -CL A,9,14,876523,USA,78746,Austin,40202010,522298,5900,TX,76798,20191231,30230110,EZCORP INC,11099,30230110
F,Ford Motor Company,4.24,-0.5441,-0.3917,-0.5396,-0.5356,0,1, F,4839,20191231,2019,345370860,FORD MOTOR CO,12,11,37996,USA,48126,Dearborn,25102010,33611,3711,MI,25785,20191231,34537086,FORD MOTOR CO DEL,20750,34537086
FANG,Diamondback Energy,31.59,-0.6598,-0.4885,-0.6654,-0.684,1,1, FANG,170750,20191231,2019,25278X109,DIAMONDBACK ENERGY INC,12,14,1539838,USA,79701,Midland,10102020,2111,1311,TX,13641,20191231,25278X10,DIAMONDBACK ENERGY INC,54222,25278X10
FANH,Fanhua Inc,20.19,-0.2226,-0.0251,-0.2364,-0.2196,0,0, FANH,178750,20191231,2019,30712A103,FANHUA INC -ADS,12,14,1413855,CYM,510623,Guangzhou,40301010,524210,6411,,92301,20191231,30712A10,FANHUA INC,52771,30712A10
FAST,Fastenal Company,30.48,-0.1751,-0.1137,-0.1665,-0.0738,1,1, FAST,14225,20191231,2019,311900104,FASTENAL CO,12,14,815556,USA,55987-1500,Winona,20107010,423,5000,MN,11618,20191231,31190010,FASTENAL COMPANY,9440,31190010
FATE,Fate Therapeutics,22.94,0.1722,-0.188,0.201,0.2434,0,0, FATE,18562,20191231,2019,31189P102,FATE THERAPEUTICS INC,12,14,1434316,USA,92121,San Diego,35201010,325414,2836,CA,14245,20191231,31189P10,FATE THERAPEUTICS INC,54605,31189P10
FB,Facebook Inc,154.18,-0.2488,-0.1706,-0.2611,-0.1116,1,1, FB,170617,20191231,2019,30303M102,FACEBOOK INC,12,14,1326801,USA,94025,Menlo Park,50203010,519130,7370,CA,13407,20191231,30303M10,FACEBOOK INC,54084,30303M10
FBHS,Fortune Brands Home & Security,35.42,-0.4579,-0.4362,-0.4583,-0.2653,0,1, FBHS,188255,20191231,2019,34964C106,FORTUNE BRANDS HOME & SECUR,12,11,1519751,USA,60015,Deerfield,20102010,337110,2430,IL,12981,20191231,34964C10,FORTUNE BRANDS HOME & SECUR INC,53876,34964C10
FBNC,First Bancorp [Nc],20.94,-0.4753,-0.3499,-0.4691,-0.4088,0,0, FBNC,16777,20191231,2019,318910106,FIRST BANCORP/NC,12,14,811589,USA,28387,Southern Pines,40101015,522110,6020,NC,11285,20191231,31891010,FIRST BANCORP NC,9141,31891010
FCFS,First Cash Fin Svcs,67.25,-0.1659,-0.1578,-0.1797,-0.2349,0,0, FCFS,24157,20191231,2019,33767D105,FIRSTCASH INC,12,14,840489,USA,76102,Fort Worth,40202010,522298,5900,TX,76856,20191231,33767D10,FIRSTCASH INC,10905,33767D10
FCNCA,First Citizens Bancs,291.21,-0.4528,-0.3646,-0.4524,-0.305,0,0, FCNCA,4690,20191231,2019,31946M103,FIRST CITIZENS BANCSH  -CL A,12,14,798941,USA,27609,Raleigh,40101015,522110,6020,NC,10777,20191231,31946M10,FIRST CITIZENS BANCSHARES INC NC,8674,31946M10
FCX,Freeport-Mcmoran Inc,6.32,-0.5183,-0.3724,-0.5063,-0.5198,0,1, FCX,14590,20191231,2019,35671D857,FREEPORT-MCMORAN INC,12,11,831259,USA,85004,Phoenix,15104025,212230,1000,AZ,81774,20191231,35671D85,FREEPORT MCMORAN INC,20763,35671D85
FDX,Fedex Corp,109.22,-0.2777,-0.1794,-0.287,-0.4102,0,1, FDX,4598,20190531,2018,31428X106,FEDEX CORP,5,11,1048911,USA,38120,Memphis,20301010,492110,4513,TN,60628,20191231,31428X10,FEDEX CORP,1685,31428X10
FE,Firstenergy Corp,37.95,-0.2191,-0.1736,-0.2004,-0.0764,0,1, FE,8099,20191231,2019,337932107,FIRSTENERGY CORP,12,11,1031296,USA,44308,Akron,55101010,22111,4911,OH,23026,20191231,33793210,FIRSTENERGY CORP,21326,33793210
FELE,Franklin Electric Company,43.36,-0.2435,-0.1564,-0.2583,-0.1569,0,0, FELE,4881,20191231,2019,353514102,FRANKLIN ELECTRIC CO INC,12,14,38725,USA,46809,Fort Wayne,20106020,335312,3621,IN,37568,20191231,35351410,FRANKLIN ELECTRIC INC,1688,35351410
FEYE,Fireeye Inc,9.32,-0.4362,-0.2831,-0.4585,-0.4508,0,0, FEYE,18487,20191231,2019,31816Q101,FIREEYE INC,12,14,1370880,USA,95035,Milpitas,45103020,541512,7373,CA,14159,20191231,31816Q10,FIREEYE INC,54556,31816Q10
FFBC,First Finl Bncp [Oh],13.58,-0.4662,-0.3558,-0.4675,-0.4477,0,0, FFBC,17195,20191231,2019,320209109,FIRST FINL BANCORP INC/OH,12,14,708955,USA,45202,Cincinnati,40101015,522110,6020,OH,35685,20191231,32020910,FIRST FINANCIAL BANCORP OHIO,6736,32020910
FFIC,Flushing Finl Corp,10.53,-0.5126,-0.4366,-0.507,-0.5286,0,0, FFIC,61585,20191231,2019,343873105,FLUSHING FINANCIAL CORP,12,14,923139,USA,11556,Uniondale,40101015,522110,6020,NY,82573,20191231,34387310,FLUSHING FINANCIAL CORP,14157,34387310
FFIN,First Finl Bkshs Inc,25.64,-0.2695,-0.1335,-0.2643,-0.1285,0,0, FFIN,29101,20191231,2019,32020R109,FIRST FINL BANKSHARES INC,12,14,36029,USA,79601,Abilene,40101015,522110,6020,TX,79824,20191231,32020R10,FIRST FINANCIAL BANKSHARES INC,12525,32020R10
FFIV,F5 Networks Inc,107.3,-0.2317,-0.076,-0.2336,-0.3564,1,1, FFIV,121077,20190930,2019,315616102,F5 NETWORKS INC,9,14,1048695,USA,98104,Seattle,45201020,541512,7373,WA,86964,20191231,31561610,F 5 NETWORKS INC,16561,31561610
FGEN,Fibrogen Inc CS,32.57,-0.2406,-0.1746,-0.2441,-0.4095,0,0, FGEN,21901,20191231,2019,31572Q808,FIBROGEN INC,12,14,921299,USA,94158,San Francisco,35201010,325414,2836,CA,15065,20191231,31572Q80,FIBROGEN INC,55110,31572Q80
FHB,First Hawaiian Inc,14.34,-0.5029,-0.4074,-0.5005,-0.4599,0,0, FHB,27665,20191231,2019,32051X108,FIRST HAWAIIAN INC,12,14,36377,USA,96813,Honolulu,40101015,522110,6020,HI,16253,20191231,32051X10,FIRST HAWAIIAN INC,55670,32051X10
FIBK,First Interstate Ban,26.85,-0.3595,-0.2126,-0.3536,-0.3329,0,0, FIBK,184167,20191231,2019,32055Y201,FIRST INTERSTATE BANCSYSTEM,12,14,860413,USA,59116,Billings,40101015,522110,6020,MT,93304,20191231,32055Y20,FIRST INTERSTATE BANCSYSTEM INC,53368,32055Y20
FIS,Fidelity National Information Services,115.22,-0.1716,-0.1948,-0.1712,0.0025,0,1, FIS,165993,20191231,2019,31620M106,FIDELITY NATIONAL INFO SVCS,12,11,1136893,USA,32204,Jacksonville,45102020,518210,7374,FL,89003,20191231,31620M10,FIDELITY NATIONAL INFO SVCS INC,41673,31620M10
FISV,Fiserv Inc,86.19,-0.2546,-0.2119,-0.2593,-0.0491,1,1, FISV,12635,20191231,2019,337738108,FISERV INC,12,14,798354,USA,53045,Brookfield,45102020,518210,7374,WI,10696,20191231,33773810,FISERV INC,8598,33773810
FITB,Fifth Third Bncp,13.44,-0.5628,-0.4501,-0.5585,-0.4882,1,1, FITB,4640,20191231,2019,316773100,FIFTH THIRD BANCORP,12,14,35527,USA,45263,Cincinnati,40101015,522110,6020,OH,34746,20191231,31677310,FIFTH THIRD BANCORP,1741,31677310
FIVE,Five Below Inc,62.72,-0.5095,-0.351,-0.5087,-0.4896,0,0, FIVE,171141,20190131,2018,33829M101,FIVE BELOW INC,1,14,1177609,USA,19106,Philadelphia,25504040,452319,5331,PA,13527,20191231,33829M10,FIVE BELOW INC,54146,33829M10
FIVN,Five9 Inc,73.9,0.1269,0.0193,0.1028,0.4133,0,0, FIVN,19908,20191231,2019,338307101,FIVE9 INC,12,14,1288847,USA,94583,San Ramon,45103010,519130,7370,CA,14596,20191231,33830710,FIVE 9 INC,54820,33830710
FIXX,Homology Medicines Inc,16.64,-0.1961,-0.16,-0.1097,-0.4278,0,0, FIXX,,,,,,,,,,,,,,,,17358,20191231,43808310,HOMOLOGY MEDICINES INC,56296,43808310
FIZZ,Natl Beverage Cp,42.28,-0.1713,-0.0017,-0.1223,-0.2539,0,0, FIZZ,24463,20190430,2018,635017106,NATIONAL BEVERAGE CORP,4,14,69891,USA,33324,Fort Lauderdale,30201030,312111,2086,FL,76839,20191231,63501710,NATIONAL BEVERAGE CORP,11111,63501710
FLEX,Flextronics Intl Ltd,7.52,-0.4041,-0.3386,-0.4008,-0.2845,0,0, FLEX,30170,20190331,2018,Y2573F102,FLEX LTD,3,14,866374,SGP,486123,Singapore,45203020,334412,3672,,80329,20191231,Y2573F10,FLEX LTD,12930,Y2573F10
FLIC,First of Long Isla,14.35,-0.4278,-0.3183,-0.419,-0.351,0,0, FLIC,18307,20191231,2019,320734106,FIRST LONG ISLAND CORP,12,14,740663,USA,11545,Glen Head,40101015,522110,6020,NY,11006,20191231,32073410,FIRST LONG ISLAND CORP,8879,32073410
FLIR,Flir Systems Inc,31.09,-0.4029,-0.2459,-0.4101,-0.3583,1,1, FLIR,28477,20191231,2019,302445101,FLIR SYSTEMS INC,12,14,354908,USA,97070,Wilsonville,45203010,334511,3812,OR,79265,20191231,30244510,FLIR SYSTEMS INC,12214,30244510
FLS,Flowserve Corp,23.76,-0.5226,-0.4084,-0.5237,-0.4936,0,1, FLS,4108,20191231,2019,34354P105,FLOWSERVE CORP,12,11,30625,USA,75039,Irving,20106020,333914,3561,TX,30940,20191231,34354P10,FLOWSERVE CORP,1425,34354P10
FLT,Fleetcor Technologies,184.78,-0.3578,-0.3064,-0.3646,-0.2608,0,1, FLT,184700,20191231,2019,339041105,FLEETCOR TECHNOLOGIES INC,12,11,1175454,USA,30305,Atlanta,45102020,518210,7374,GA,12449,20191231,33904110,FLEETCOR TECHNOLOGIES INC,53610,33904110
FMAO,Farmers & Merch Banc,20.9,-0.3068,-0.2083,-0.2939,-0.2975,0,0, FMAO,112572,20191231,2019,30779N105,FARMERS & MERCHANTS BCP/OH,12,14,792966,USA,43502,Archbold,40101015,522110,6020,OH,16703,20191231,30779N10,FARMERS & MERCHANTS BANCORP INC,55935,30779N10
FMBI,First Midwest Bncp,12.56,-0.4553,-0.3144,-0.4537,-0.4016,0,0, FMBI,11896,20191231,2019,320867104,FIRST MIDWEST BANCORP INC,12,14,702325,USA,60631,Chicago,40101015,522110,6020,IL,35917,20191231,32086710,FIRST MIDWEST BANCORP DE,5908,32086710
FMC,FMC Corp,70.88,-0.2899,-0.2507,-0.2857,-0.1045,0,1, FMC,4510,20191231,2019,302491303,FMC CORP,12,11,37785,USA,19104,Philadelphia,15101030,325320,2870,PA,19166,20191231,30249130,F M C CORP,20681,30249130
FNLC,First Bancorp Inc,20.22,-0.3311,-0.2145,-0.3349,-0.219,0,0, FNLC,111940,20191231,2019,31866P102,FIRST BANCORP INC/ME,12,14,765207,USA,4543,Damariscotta,40101015,522110,6020,ME,87067,20191231,31866P10,FIRST BANCORP INC ME,16649,31866P10
FOLD,Amicus Therapeutics,9.33,-0.0421,0.0208,0.0163,-0.3364,0,0, FOLD,175008,20191231,2019,03152W109,AMICUS THERAPEUTICS INC,12,14,1178879,USA,8512,Cranbury,35201010,325414,2836,NJ,92040,20191231,03152W10,AMICUS THERAPEUTICS INC,52292,03152W10
FORM,Formfactor Inc,17.76,-0.3161,-0.2029,-0.3311,0.0154,0,0, FORM,148390,20191231,2019,346375108,FORMFACTOR INC,12,14,1039399,USA,94551,Livermore,45301010,334515,3825,CA,89753,20191231,34637510,FORMFACTOR INC,44115,34637510
